threat_id,threat_name,category,severity,likelihood,impact,description,attack_vectors,affected_components,cvss_score
LLM01,Prompt Injection,Input Manipulation,Critical,High,High,Adversarial inputs designed to manipulate LLM behavior and bypass safety controls,"['Direct injection', 'Indirect injection via documents', 'Cross-prompt attacks']","['User input processing', 'System prompts', 'Context management']",9.1
LLM02,Insecure Output Handling,Output Security,High,High,High,Inadequate validation of LLM outputs leading to downstream vulnerabilities,"['XSS via generated content', 'SQL injection through outputs', 'Code injection']","['Output validation', 'Content rendering', 'API responses']",8.5
LLM03,Training Data Poisoning,Model Integrity,Critical,Medium,Critical,Manipulation of training data to introduce backdoors or biases,"['Supply chain attacks', 'Malicious data injection', 'Adversarial examples']","['Training pipeline', 'Data sources', 'Model weights']",8.8
LLM04,Model Denial of Service,Availability,High,High,Medium,Resource exhaustion attacks targeting LLM inference,"['Long input sequences', 'Computationally expensive queries', 'Rate limit bypass']","['Inference engine', 'Resource management', 'API endpoints']",7.5
LLM05,Supply Chain Vulnerabilities,Dependencies,High,Medium,High,"Compromised third-party models, plugins, or training data","['Malicious model repositories', 'Compromised dependencies', 'Plugin vulnerabilities']","['Model sources', 'External plugins', 'Data pipelines']",8.2
LLM06,Sensitive Information Disclosure,Data Leakage,Critical,High,Critical,"Unintended exposure of PII, credentials, or proprietary information","['Training data memorization', 'Prompt extraction', 'Context leakage']","['Model memory', 'Context windows', 'Output filtering']",9.3
LLM07,Insecure Plugin Design,Integration Security,High,Medium,High,Vulnerabilities in LLM plugins enabling unauthorized access or actions,"['Plugin injection', 'Privilege escalation', 'API abuse']","['Plugin architecture', 'Authorization systems', 'Function calling']",8.0
LLM08,Excessive Agency,Authorization,High,Medium,High,LLM granted excessive permissions leading to unauthorized actions,"['Privilege abuse', 'Unintended command execution', 'System manipulation']","['Permission management', 'Action validators', 'Access controls']",7.8
LLM09,Overreliance,Human Factors,Medium,High,Medium,Excessive trust in LLM outputs without verification,"['Misinformation propagation', 'Hallucination exploitation', 'Decision automation']","['User interface', 'Decision workflows', 'Output validation']",6.5
LLM10,Model Theft,Intellectual Property,High,Medium,High,Unauthorized access to or extraction of proprietary model weights,"['Model extraction attacks', 'API abuse', 'Side-channel attacks']","['Model serving', 'API rate limits', 'Access controls']",7.7
LLM11,Model Bias and Fairness,Ethical Risks,High,High,Medium,Discriminatory outputs based on protected characteristics,"['Biased training data', 'Amplification of stereotypes', 'Unfair decision-making']","['Training data', 'Model architecture', 'Output generation']",7.2
LLM12,Jailbreaking,Safety Controls,Critical,High,High,Bypassing safety guardrails and content filters,"['Adversarial prompts', 'Encoding tricks', 'Role-play attacks']","['Content filters', 'Safety layers', 'System prompts']",8.7
